name,phone_number,website,address
Primus Super Speciality Hospital,011 6620 6630,primushospital.com,"2, Chandragupta Marg, Opp Russian Embassy, Chanakyapuri, New Delhi, Delhi 110021"
"Apollo Spectra Hospitals - Karol Bagh, Delhi",084484 40991,apollospectra.com,"Metro Pillar No. 77, Block No. 34, Plot No. 3, Pusa Rd, opposite Bal Bharati Public School, Block 18 A, WEA, Karol Bagh, New Delhi, Delhi, 110005"
"Lok Nayak Hospital,Delhi",,lnjp.delhi.gov.in,"metro Station Central, Jawaharlal Nehru Marg, near Delhi Gate, New Delhi, Delhi 110002"
BLK-Max Super Speciality Hospital Delhi,011 3040 3040,blkmaxhospital.com,"Pusa Rd, Radha Soami Satsang, Rajinder Nagar, New Delhi, Delhi, 110005"
Aashlok Hospital,011 4616 5900,aashlokhospital.com,"25 A, Block A 1, Block AB, Safdarjung Enclave, New Delhi, Delhi 110029"
Charak Palika Hospital,011 2611 7879,ndmc.gov.in,"C 7 Ln, Moti Bagh 1, Block F, Moti Bagh, New Delhi, Delhi 110021"
The Neptune Hospital,011 4036 3740,neptunehospital.com,"B-2/5, Block B 2, Safdarjung Enclave, New Delhi, Delhi 110029"
Jeewan Hospital Gate No 01,074289 76990,jeewanhospital1.in,"150, Bharath Nagar Road Jeewan Nagar, Gate Number 1, Maharani Bagh, New Delhi, Delhi 110014"
