name,phone_number,website,address
Dr Ankur Varshneya,088820 52769,drankururologist.com,"Sewa Medical Services, Ramghat Rd, opposite Meenakshi Cinema, Sudhama Puri, Aligarh, Uttar Pradesh 202001"
K K Hospital,090842 63669,kkich.com,"V3WR+GG5, Ramghat Rd, Avas Vikas Colony, Sumit Sarovar Colony, ADA Colony, Aligarh, Uttar Pradesh 202001"
Aashirwad Multispeciality Hospital,090586 98970,aashirwadmultispecialityhospital.com,"Ramghat Rd, near Minakshi Flyover, opposite Mahajan Palace, Sudhama Puri, Aligarh, Uttar Pradesh 202001"
Maxfort Multispeciality Hospital,098370 40699,,"Indraprasth Enclave, Maxfort Multi-Speciality Hospital, Ramghat Rd, Kishanpur, Aligarh, Uttar Pradesh 202001"
Rawat Hospital,093190 52530,,"3, Avas Vikas Colony, Agra Rd, Near Canara Bank, Sasni Gate, Aligarh, Uttar Pradesh 202001"
Mayur Super Speciality Hospital,,,"opp. Gyan Guest House, Avas Vikas Colony, Sasni Gate, Aligarh, Uttar Pradesh 202001"
Mithraj Hospital,076699 12345,,"Ramghat Rd, near Sports Stadium, Rambag Colony, Aligarh, Uttar Pradesh 202001"
Varun Hospital,093582 51185,varungroups.com,"Varun Hospital, New Vishnupuri, Aligarh, Uttar Pradesh 202001"
